stim_num	turker_label	true_label	is_correct	eventType	experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num
0	false	false	true	logTest	mp-game-6	pilot	3027-bf78bd29-679a-475a-b0c0-1ca9149a31dc	1548691831368	explorer	23	"birds with orange crests or purple wings"	birds_orange_crests_or_purple_wings	0
1	true	true	true	logTest	mp-game-6	pilot	3027-bf78bd29-679a-475a-b0c0-1ca9149a31dc	1548691831368	explorer	23	"birds with orange crests or purple wings"	birds_orange_crests_or_purple_wings	0
2	false	true	false	logTest	mp-game-6	pilot	3027-bf78bd29-679a-475a-b0c0-1ca9149a31dc	1548691831368	explorer	23	"birds with orange crests or purple wings"	birds_orange_crests_or_purple_wings	0
3	false	true	false	logTest	mp-game-6	pilot	3027-bf78bd29-679a-475a-b0c0-1ca9149a31dc	1548691831368	explorer	23	"birds with orange crests or purple wings"	birds_orange_crests_or_purple_wings	0
4	false	false	true	logTest	mp-game-6	pilot	3027-bf78bd29-679a-475a-b0c0-1ca9149a31dc	1548691831368	explorer	23	"birds with orange crests or purple wings"	birds_orange_crests_or_purple_wings	0
5	true	true	true	logTest	mp-game-6	pilot	3027-bf78bd29-679a-475a-b0c0-1ca9149a31dc	1548691831368	explorer	23	"birds with orange crests or purple wings"	birds_orange_crests_or_purple_wings	0
6	false	true	false	logTest	mp-game-6	pilot	3027-bf78bd29-679a-475a-b0c0-1ca9149a31dc	1548691831368	explorer	23	"birds with orange crests or purple wings"	birds_orange_crests_or_purple_wings	0
7	false	true	false	logTest	mp-game-6	pilot	3027-bf78bd29-679a-475a-b0c0-1ca9149a31dc	1548691831368	explorer	23	"birds with orange crests or purple wings"	birds_orange_crests_or_purple_wings	0
8	true	true	true	logTest	mp-game-6	pilot	3027-bf78bd29-679a-475a-b0c0-1ca9149a31dc	1548691831368	explorer	23	"birds with orange crests or purple wings"	birds_orange_crests_or_purple_wings	0
9	false	false	true	logTest	mp-game-6	pilot	3027-bf78bd29-679a-475a-b0c0-1ca9149a31dc	1548691831368	explorer	23	"birds with orange crests or purple wings"	birds_orange_crests_or_purple_wings	0
10	true	true	true	logTest	mp-game-6	pilot	3027-bf78bd29-679a-475a-b0c0-1ca9149a31dc	1548691831368	explorer	23	"birds with orange crests or purple wings"	birds_orange_crests_or_purple_wings	0
11	false	false	true	logTest	mp-game-6	pilot	3027-bf78bd29-679a-475a-b0c0-1ca9149a31dc	1548691831368	explorer	23	"birds with orange crests or purple wings"	birds_orange_crests_or_purple_wings	0
12	true	true	true	logTest	mp-game-6	pilot	3027-bf78bd29-679a-475a-b0c0-1ca9149a31dc	1548691831368	explorer	23	"birds with orange crests or purple wings"	birds_orange_crests_or_purple_wings	0
13	false	false	true	logTest	mp-game-6	pilot	3027-bf78bd29-679a-475a-b0c0-1ca9149a31dc	1548691831368	explorer	23	"birds with orange crests or purple wings"	birds_orange_crests_or_purple_wings	0
