stim_num	turker_label	true_label	is_correct	eventType	experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num
0	false	false	true	logTest	mp-game-6	pilot	0648-b678a26f-b204-4a2e-96f7-ee544884124a	1548692864375	explorer	17	"trees with purple leaves and berries"	trees_purple_leaves_berries	0
1	false	false	true	logTest	mp-game-6	pilot	0648-b678a26f-b204-4a2e-96f7-ee544884124a	1548692864375	explorer	17	"trees with purple leaves and berries"	trees_purple_leaves_berries	0
2	false	false	true	logTest	mp-game-6	pilot	0648-b678a26f-b204-4a2e-96f7-ee544884124a	1548692864375	explorer	17	"trees with purple leaves and berries"	trees_purple_leaves_berries	0
3	false	false	true	logTest	mp-game-6	pilot	0648-b678a26f-b204-4a2e-96f7-ee544884124a	1548692864375	explorer	17	"trees with purple leaves and berries"	trees_purple_leaves_berries	0
4	false	false	true	logTest	mp-game-6	pilot	0648-b678a26f-b204-4a2e-96f7-ee544884124a	1548692864375	explorer	17	"trees with purple leaves and berries"	trees_purple_leaves_berries	0
5	false	false	true	logTest	mp-game-6	pilot	0648-b678a26f-b204-4a2e-96f7-ee544884124a	1548692864375	explorer	17	"trees with purple leaves and berries"	trees_purple_leaves_berries	0
6	true	true	true	logTest	mp-game-6	pilot	0648-b678a26f-b204-4a2e-96f7-ee544884124a	1548692864375	explorer	17	"trees with purple leaves and berries"	trees_purple_leaves_berries	0
7	false	false	true	logTest	mp-game-6	pilot	0648-b678a26f-b204-4a2e-96f7-ee544884124a	1548692864375	explorer	17	"trees with purple leaves and berries"	trees_purple_leaves_berries	0
8	false	false	true	logTest	mp-game-6	pilot	0648-b678a26f-b204-4a2e-96f7-ee544884124a	1548692864375	explorer	17	"trees with purple leaves and berries"	trees_purple_leaves_berries	0
9	false	false	true	logTest	mp-game-6	pilot	0648-b678a26f-b204-4a2e-96f7-ee544884124a	1548692864375	explorer	17	"trees with purple leaves and berries"	trees_purple_leaves_berries	0
10	false	false	true	logTest	mp-game-6	pilot	0648-b678a26f-b204-4a2e-96f7-ee544884124a	1548692864375	explorer	17	"trees with purple leaves and berries"	trees_purple_leaves_berries	0
11	false	false	true	logTest	mp-game-6	pilot	0648-b678a26f-b204-4a2e-96f7-ee544884124a	1548692864375	explorer	17	"trees with purple leaves and berries"	trees_purple_leaves_berries	0
12	false	false	true	logTest	mp-game-6	pilot	0648-b678a26f-b204-4a2e-96f7-ee544884124a	1548692864375	explorer	17	"trees with purple leaves and berries"	trees_purple_leaves_berries	0
13	false	false	true	logTest	mp-game-6	pilot	0648-b678a26f-b204-4a2e-96f7-ee544884124a	1548692864375	explorer	17	"trees with purple leaves and berries"	trees_purple_leaves_berries	0
14	false	false	true	logTest	mp-game-6	pilot	0648-b678a26f-b204-4a2e-96f7-ee544884124a	1548692864375	explorer	17	"trees with purple leaves and berries"	trees_purple_leaves_berries	0
15	false	false	true	logTest	mp-game-6	pilot	0648-b678a26f-b204-4a2e-96f7-ee544884124a	1548692864375	explorer	17	"trees with purple leaves and berries"	trees_purple_leaves_berries	0
16	false	false	true	logTest	mp-game-6	pilot	0648-b678a26f-b204-4a2e-96f7-ee544884124a	1548692864375	explorer	17	"trees with purple leaves and berries"	trees_purple_leaves_berries	0
